"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\listicle.service.ts", "TypeScript", 0, 29, 0, 1, 30
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\personal-task.service.ts", "TypeScript", 0, 30, 7, 2, 39
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\public-task.service.ts", "TypeScript", 0, 54, 10, 8, 72
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\tag.serviece.ts", "TypeScript", 0, 29, 3, 4, 36
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\task.module.ts", "TypeScript", 0, 3, 1, 1, 5
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\controllers\auth.controller.ts", "TypeScript", 0, 5, 4, 3, 12
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\controllers\user.controller.ts", "TypeScript", 0, -5, 5, 0, 0
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\oraganization\update-organization.dto.ts", "TypeScript", 0, -4, 4, 0, 0
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\permission\create-permission.dto.ts", "TypeScript", 0, -10, 10, 0, 0
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\permission.interface.ts", "TypeScript", 0, 4, 0, 0, 4
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\role.interface.ts", "TypeScript", 0, 1, 0, 0, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\user-role.interface.ts", "TypeScript", 0, 4, 0, 1, 5
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\permission.entity.ts", "TypeScript", 0, 12, 0, 0, 12
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\role.entity.ts", "TypeScript", 0, 1, -1, 0, 0
