"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\TimeZoneEnum.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 29, 1, 58
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\UserTypeEnum.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 7, 3, 17
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\VipStatusEnum.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 13, 2, 26
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\VipTypeEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 7, 1, 12
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\WeekDayEnum.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 3, 3, 15
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\taskOrderByEnum.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 11, 3, 25
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\lib\generateVerificationCode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 5, 1, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\lib\getDateshortcut.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\lib\password.helper.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 26, 8, 44
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\lib\snowflake.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 6, 7, 37
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\token\tokens.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 12, 15, 50
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\types\paginatedResult.interface.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 27, 10, 80
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\utils\buildFilterCondition.util.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 14, 10, 56
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\utils\cursor.utils.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\main.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 18, 6, 63
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\auth\auth.module.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 2, 1, 43
