"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\permission\update-permission.dto.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\role\create-role.dto.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 10, 3, 29
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\role\internal-role.dto.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 1, 4, 38
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\role\response-role.dto.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\role\update-role-permissio-relation.dto .ts", "TypeScript", 0, 0, 0, 13, 0, 0, 4, 6, 23
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\role\update-role.dto.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 3, 4, 31
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\connect-user.dto.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 2, 20
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\create-user.dto.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 8, 9, 40
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\internal-user.dto.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 15, 20, 67
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\login-user.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 6, 2, 20
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\response-user.dto.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 3, 9, 40
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\update-password.dto.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 4, 5, 27
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\user\update-user.dto.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 8, 7, 38
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\department.entity.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 2, 7, 33
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\department.interface.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\organization.interface.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\permission.interface.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 1, 18
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\role-permission.interface.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\role.interface.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 2, 1, 15
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\setting.interface.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\user-role.interface.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\interfaces\user.interface.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 14, 7, 48
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\organization.entity.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 5, 8, 38
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\permission.entity.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 2, 10, 50
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\role-permission.entity.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 5, 7, 32
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\role.entity.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 10, 8, 36
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\user-role.entity.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 3, 8, 41
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\user-setting.entity.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 6, 3, 28
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\user.entity.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 44, 23, 120
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\auth-manage.repository.ts", "TypeScript", 0, 0, 0, 159, 0, 0, 18, 23, 200
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\auth-manage.repository.interface.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 25, 23, 74
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\org-dep-manage.repository.interface.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 63, 25, 110
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\setting-manage.repository.interface.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 5, 4, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\user-manage.repository.interface.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 74, 23, 122
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\org-dep-manage.repository.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 12, 15, 130
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\user-manage.repository.ts", "TypeScript", 0, 0, 0, 197, 0, 0, 40, 32, 269
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\auth\auth-manage.service.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 2, 10, 33
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\interface\auth-manage.interface.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 12, 6, 24
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\interface\organization-manage.interface.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 5, 3, 20
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\interface\user-manager.interface.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 12, 10, 35
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\oraganiztion\org-dep-manage.service.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\user\user-manage.service.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 17, 17, 103
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\user.module.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 7, 71
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\tsconfig.build.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\tsconfig.json", "JSON with Comments", 0, 0, 32, 0, 0, 0, 0, 2, 34
"Total", "-", 14441, 43, 32, 6871, 191, 1772, 2571, 1813, 27734
